"lot_id","account_company_name"
181518,TU Delft
181517,TU Delft
178872,Coolblue
179118,Coolblue
179451,Coolblue
179397,Coolblue
179116,Coolblue
179532,Coolblue
179287,Coolblue
179262,Coolblue
178800,Coolblue
178873,Coolblue
179534,Coolblue
179533,Coolblue
181501,TU Delft
181486,TU Delft
181487,TU Delft
181488,TU Delft
181489,TU Delft
181491,TU Delft
181493,TU Delft
181371,Spaarne Gasthuis
181372,Spaarne Gasthuis
181369,Spaarne Gasthuis
181484,TU Delft
181512,TU Delft
181503,TU Delft
181504,TU Delft
181524,TU Delft
179300,Coolblue
179119,Coolblue
178820,Coolblue
178821,Coolblue
181508,TU Delft
181520,TU Delft
182002,Spaarne Gasthuis
182003,Spaarne Gasthuis
182004,Spaarne Gasthuis
182005,Spaarne Gasthuis
179305,Coolblue
181978,Spaarne Gasthuis
181979,Spaarne Gasthuis
181980,Spaarne Gasthuis
181981,Spaarne Gasthuis
181982,Spaarne Gasthuis
181984,Spaarne Gasthuis
181985,Spaarne Gasthuis
181986,Spaarne Gasthuis
181987,Spaarne Gasthuis
181988,Spaarne Gasthuis
181989,Spaarne Gasthuis
181990,Spaarne Gasthuis
181991,Spaarne Gasthuis
181992,Spaarne Gasthuis
181993,Spaarne Gasthuis
181994,Spaarne Gasthuis
181995,Spaarne Gasthuis
181996,Spaarne Gasthuis
181997,Spaarne Gasthuis
181998,Spaarne Gasthuis
181999,Spaarne Gasthuis
182000,Spaarne Gasthuis
182001,Spaarne Gasthuis
182127,Spaarne Gasthuis
179303,Coolblue
179447,Coolblue
179405,Coolblue
178826,Coolblue
179309,Coolblue
179306,Coolblue
179304,Coolblue
178876,Coolblue
182130,Spaarne Gasthuis
181528,Spaarne Gasthuis
179302,Coolblue
179277,Coolblue
179299,Coolblue
179301,Coolblue
179403,Coolblue
179308,Coolblue
179307,Coolblue
179521,Coolblue
182007,Spaarne Gasthuis
181370,Spaarne Gasthuis
181366,Spaarne Gasthuis
182021,Spaarne Gasthuis
181481,Spaarne Gasthuis
179525,Coolblue
182470,Spaarne Gasthuis
179552,Coolblue
179485,Coolblue
179549,Coolblue
179548,Coolblue
178856,Coolblue
178833,Coolblue
178834,Coolblue
179316,Coolblue
179550,Coolblue
178797,Coolblue
179482,Coolblue
179274,Coolblue
179421,Coolblue
178874,Coolblue
179551,Coolblue
178875,Coolblue
179553,Coolblue
179275,Coolblue
178798,Coolblue
179312,Coolblue
179244,Coolblue
179315,Coolblue
179483,Coolblue
179476,Coolblue
179477,Coolblue
179547,Coolblue
179437,Coolblue
179240,Coolblue
179241,Coolblue
179311,Coolblue
179480,Coolblue
179438,Coolblue
179317,Coolblue
179318,Coolblue
179319,Coolblue
179320,Coolblue
179276,Coolblue
179546,Coolblue
179242,Coolblue
179314,Coolblue
179481,Coolblue
182469,Spaarne Gasthuis
182461,Spaarne Gasthuis
182462,Spaarne Gasthuis
182463,Spaarne Gasthuis
182464,Spaarne Gasthuis
182465,Spaarne Gasthuis
182467,Spaarne Gasthuis
182466,Spaarne Gasthuis
182460,Spaarne Gasthuis
181532,Spaarne Gasthuis
182455,Spaarne Gasthuis
182456,Spaarne Gasthuis
178741,TU Delft
178760,TU Delft
178743,TU Delft
178744,TU Delft
178745,TU Delft
178746,TU Delft
178751,TU Delft
178752,TU Delft
178753,TU Delft
178754,TU Delft
178755,TU Delft
178756,TU Delft
178689,TU Delft
178691,TU Delft
178692,TU Delft
178694,TU Delft
178695,TU Delft
178696,TU Delft
178697,TU Delft
178698,TU Delft
178702,TU Delft
178703,TU Delft
178704,TU Delft
178700,TU Delft
178706,TU Delft
178707,TU Delft
178708,TU Delft
178709,TU Delft
178710,TU Delft
178711,TU Delft
178718,TU Delft
